stoch file 
scenario 1 Probability 0.001
	epsilon 0.824442
	b 0.615654
	m 0.972067
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 2 Probability 0.001
	epsilon 0.821219
	b 0.601166
	m 1.19519
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 3 Probability 0.001
	epsilon 0.790023
	b 0.57413
	m 0.771084
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 4 Probability 0.001
	epsilon 0.841593
	b 0.644776
	m 0.908665
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 5 Probability 0.001
	epsilon 0.884985
	b 0.6376
	m 0.801453
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 6 Probability 0.001
	epsilon 0.786302
	b 0.510441
	m 1.07475
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 7 Probability 0.001
	epsilon 0.92462
	b 0.565218
	m 1.11225
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 8 Probability 0.001
	epsilon 0.903963
	b 0.699514
	m 1.23993
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 9 Probability 0.001
	epsilon 0.775804
	b 0.656852
	m 1.11526
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 10 Probability 0.001
	epsilon 0.835015
	b 0.644409
	m 1.17483
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 11 Probability 0.001
	epsilon 0.913993
	b 0.52538
	m 1.15582
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 12 Probability 0.001
	epsilon 0.79406
	b 0.573253
	m 0.874884
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 13 Probability 0.001
	epsilon 0.934063
	b 0.662728
	m 1.17821
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 14 Probability 0.001
	epsilon 0.779355
	b 0.623599
	m 0.998508
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 15 Probability 0.001
	epsilon 0.828723
	b 0.569075
	m 0.793634
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 16 Probability 0.001
	epsilon 0.840001
	b 0.595637
	m 1.09864
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 17 Probability 0.001
	epsilon 0.816451
	b 0.626294
	m 0.976171
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 18 Probability 0.001
	epsilon 0.820676
	b 0.645087
	m 0.955854
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 19 Probability 0.001
	epsilon 0.803251
	b 0.686984
	m 1.12115
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 20 Probability 0.001
	epsilon 0.75675
	b 0.668812
	m 1.21494
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 21 Probability 0.001
	epsilon 0.777394
	b 0.633047
	m 1.04423
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 22 Probability 0.001
	epsilon 0.829965
	b 0.628477
	m 1.09759
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 23 Probability 0.001
	epsilon 0.837801
	b 0.669617
	m 1.1389
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 24 Probability 0.001
	epsilon 0.811431
	b 0.629689
	m 0.958183
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 25 Probability 0.001
	epsilon 0.830241
	b 0.572086
