stoch file 
scenario 1 Probability 0.01
	epsilon 0.771295
	b 0.570031
	m 0.87438
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 2 Probability 0.01
	epsilon 0.878298
	b 0.600864
	m 0.981214
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 3 Probability 0.01
	epsilon 0.752819
	b 0.526354
	m 1.02181
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 4 Probability 0.01
	epsilon 0.814459
	b 0.62054
	m 0.98349
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 5 Probability 0.01
	epsilon 0.83776
	b 0.675097
	m 1.00362
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 6 Probability 0.01
	epsilon 0.861453
	b 0.534108
	m 1.17123
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 7 Probability 0.01
	epsilon 0.80803
	b 0.616428
	m 1.11634
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 8 Probability 0.01
	epsilon 0.915087
	b 0.674897
	m 1.16254
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 9 Probability 0.01
	epsilon 0.819965
	b 0.550726
	m 0.787016
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 10 Probability 0.01
	epsilon 0.942501
	b 0.681321
	m 1.12763
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 11 Probability 0.01
	epsilon 0.792266
	b 0.604913
	m 0.766292
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 12 Probability 0.01
	epsilon 0.880311
	b 0.598586
	m 0.765045
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 13 Probability 0.01
	epsilon 0.789772
	b 0.585344
	m 0.953145
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 14 Probability 0.01
	epsilon 0.759992
	b 0.587929
	m 0.939004
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 15 Probability 0.01
	epsilon 0.865301
	b 0.54066
	m 0.822132
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 16 Probability 0.01
	epsilon 0.799898
	b 0.50013
	m 0.765533
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 17 Probability 0.01
	epsilon 0.877019
	b 0.606165
	m 0.762671
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 18 Probability 0.01
	epsilon 0.927354
	b 0.650505
	m 1.21682
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 19 Probability 0.01
	epsilon 0.840102
	b 0.630808
	m 1.0905
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 20 Probability 0.01
	epsilon 0.759412
	b 0.625656
	m 1.01544
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 21 Probability 0.01
	epsilon 0.765902
	b 0.563484
	m 0.969537
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 22 Probability 0.01
	epsilon 0.829382
	b 0.626791
	m 0.91179
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 23 Probability 0.01
