stoch file 
scenario 1 Probability 0.01
	epsilon 0.873418
	b 0.656831
	m 0.905534
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 2 Probability 0.01
	epsilon 0.918764
	b 0.66905
	m 1.07507
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 3 Probability 0.01
	epsilon 0.903378
	b 0.612672
	m 0.844591
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 4 Probability 0.01
	epsilon 0.902906
	b 0.673087
	m 0.87619
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 5 Probability 0.01
	epsilon 0.827393
	b 0.648339
	m 1.1364
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 6 Probability 0.01
	epsilon 0.91337
	b 0.698471
	m 1.03456
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 7 Probability 0.01
	epsilon 0.811839
	b 0.509367
	m 0.934296
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 8 Probability 0.01
	epsilon 0.782275
	b 0.58142
	m 1.12048
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 9 Probability 0.01
	epsilon 0.840381
	b 0.594949
	m 1.22021
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 10 Probability 0.01
	epsilon 0.848741
	b 0.622745
	m 0.91093
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 11 Probability 0.01
	epsilon 0.827672
	b 0.641022
	m 1.24323
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 12 Probability 0.01
	epsilon 0.867881
	b 0.585742
	m 0.940335
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 13 Probability 0.01
	epsilon 0.92602
	b 0.540754
	m 1.06157
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 14 Probability 0.01
	epsilon 0.884114
	b 0.539633
	m 0.849235
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 15 Probability 0.01
	epsilon 0.783564
	b 0.533499
	m 0.966442
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 16 Probability 0.01
	epsilon 0.819924
	b 0.611978
	m 1.06392
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 17 Probability 0.01
	epsilon 0.939618
	b 0.552552
	m 0.927975
	Achild 1.3
	Aadult 1.3
