stoch file 
scenario 1 Probability 0.0005
	epsilon 0.944303
	b 0.570958
	m 1.12411
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 2 Probability 0.0005
	epsilon 0.853551
	b 0.529107
	m 1.16295
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 3 Probability 0.0005
	epsilon 0.86986
	b 0.586412
	m 1.12021
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 4 Probability 0.0005
	epsilon 0.941628
	b 0.650318
	m 0.780768
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 5 Probability 0.0005
	epsilon 0.830282
	b 0.588434
	m 0.926567
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 6 Probability 0.0005
	epsilon 0.94617
	b 0.584862
	m 1.1173
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 7 Probability 0.0005
	epsilon 0.894848
	b 0.666004
	m 0.815454
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 8 Probability 0.0005
	epsilon 0.834613
	b 0.618191
	m 0.751894
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 9 Probability 0.0005
	epsilon 0.905471
	b 0.641891
	m 1.2326
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 10 Probability 0.0005
	epsilon 0.8568
	b 0.540361
	m 0.771921
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 11 Probability 0.0005
	epsilon 0.947804
	b 0.606025
	m 1.15483
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 12 Probability 0.0005
	epsilon 0.942309
	b 0.532874
	m 0.754841
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 13 Probability 0.0005
	epsilon 0.887284
	b 0.541622
	m 0.821899
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 14 Probability 0.0005
	epsilon 0.904989
	b 0.691346
	m 0.973988
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 15 Probability 0.0005
	epsilon 0.900566
	b 0.50594
	m 1.05765
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 16 Probability 0.0005
	epsilon 0.814659
	b 0.53946
	m 1.19469
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 17 Probability 0.0005
	epsilon 0.800316
	b 0.591351
	m 1.23881
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 18 Probability 0.0005
	epsilon 0.908882
	b 0.617968
	m 0.925336
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 19 Probability 0.0005
	epsilon 0.896958
	b 0.593354
	m 0.767223
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 20 Probability 0.0005
	epsilon 0.823758
	b 0.612627
	m 0.854738
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 21 Probability 0.0005
	epsilon 0.819726
	b 0.571665
	m 0.769093
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 22 Probability 0.0005
	epsilon 0.802386
	b 0.525502
	m 1.13489
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 23 Probability 0.0005
	epsilon 0.800871
	b 0.557803
	m 1.02159
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 24 Probability 0.0005
	epsilon 0.93013
	b 0.649134
	m 1.17164
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 25 Probability 0.0005
	epsilon 0.932825
	b 0.576948
	m 1.1328
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 26 Probability 0.0005
	epsilon 0.924337
	b 0.523876
	m 1.23303
	Achild 0.7
