stoch file 
scenario 1 Probability 0.004
	epsilon 0.80791
	b 0.651548
	m 1.13164
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 2 Probability 0.004
	epsilon 0.918885
	b 0.699696
	m 1.05758
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 3 Probability 0.004
	epsilon 0.857943
	b 0.500304
	m 1.08799
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 4 Probability 0.004
	epsilon 0.863854
	b 0.60665
	m 0.9945
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 5 Probability 0.004
	epsilon 0.760896
	b 0.580974
	m 0.946099
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 6 Probability 0.004
	epsilon 0.91521
	b 0.520575
	m 1.05001
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 7 Probability 0.004
	epsilon 0.864293
	b 0.612058
	m 1.19765
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 8 Probability 0.004
	epsilon 0.807886
	b 0.579816
	m 0.878259
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 9 Probability 0.004
	epsilon 0.756439
	b 0.518762
	m 0.998439
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 10 Probability 0.004
	epsilon 0.774922
	b 0.518968
	m 1.14947
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 11 Probability 0.004
	epsilon 0.798682
	b 0.651445
	m 0.938439
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 12 Probability 0.004
	epsilon 0.864854
	b 0.629668
	m 1.05766
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 13 Probability 0.004
	epsilon 0.912636
	b 0.606369
	m 1.0071
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
